START_STATION,AVG_RIDE_COUNT
Rockwell St & Archer Ave,2.54
Rockwell St & 57th St,2.45
State St & Chicago Ave,2.40
North Ave & New England Ave,2.38
Lavergne Ave & Division St,2.29
Artesian Ave & 55th St,2.27
Rockwell St & Cermak Rd,2.27
Sacramento Ave & Pershing Rd,2.25
Pulaski Rd & 51st St,2.25
Kildare Ave & Chicago Ave,2.25
Richmond St & 59th St,2.20
Harding Ave & 26th St,2.18
Central Park & Augusta Blvd,2.18
Mozart St & Jackson Blvd,2.17
Harlem Ave & Grace St,2.15
Kenosha & Wellington,2.15
Parkside Ave & Armitage Ave,2.14
Kedzie Ave & 48th Pl,2.14
